,composition,temperature,VAM,CW,HIP,SPS,A,BCC,FCC,HCP,IM,CTE,compressive ductility,compressive yield stress,d parameter,density,hardness,tensile ductility,tensile yield stress,ultimate compressive strength,ultimate tensile strength,youngs modulus
0,Al0.1Cr1Fe1Co1Ni1,0.09933333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,1.5,1198000000.0,,,
1,Al0.1Cr1Fe1Co1Ni1,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,24.633333333333336,823333333.3333334,,928000000.0,
2,Al0.25Cr1Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.74e-06,,,,,1093480500.0,,,,,
3,Al0.25Cr1Fe1Co1Ni1,0.12433333333333332,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.473e-05,,,,,,,,,,
4,Al0.25Cr1Fe1Co1Ni1,0.19999999999999998,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.601e-05,,,,,,,,,,
5,Al0.25Cr1Fe1Co1Ni1,0.35766666666666663,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.508e-05,,,,,,,,,,
6,Al0.25Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,158000000.0,,,1353366000.0,,,,,
7,Al0.2Fe1Co1Si0.2Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,342000000.0,,,,,,,,
8,Al0.375Cr1Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.01e-06,,,,,1603444500.0,,,,,
9,Al0.375Cr1Fe1Co1Ni1,0.12433333333333332,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.439e-05,,,,,,,,,,
10,Al0.375Cr1Fe1Co1Ni1,0.19999999999999998,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.575e-05,,,,,,,,,,
11,Al0.375Cr1Fe1Co1Ni1,0.35766666666666663,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.723e-05,,,,,,,,,,
12,Al0.3Cr1Fe1Co1Cu0.3Ni1,0.391,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,24.0,,,,
13,Al0.3Cr1Fe1Co1Cu0.3Ni1,0.391,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,26.5,,,,
14,Al0.3Cr1Fe1Co1Cu0.3Ni1,0.45766666666666667,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,80.0,,,,
15,Al0.3Cr1Fe1Co1Ni1,0.091,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,1147419000.0,,,,,
16,Al0.3Cr1Fe1Co1Ni1,0.09933333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,65.0,143000000.0,,400000000.0,
17,Al0.3Cr1Fe1Co1Ni1,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,65.0,159000000.0,,410000000.0,
